HydroUnit,CUR_RCG_M,FOR_RCG_M,SAV_RCG_M,DLTA_FOR_M,DLTA_SAV_M,DLTA_FOR_PRC,DLTA_SAV_PRC
138,8.779024804,8.821081264,8.320619074,0.04205646,-0.458405729,0.004790562,-0.052216019
139,7.273599809,7.551845986,6.568875148,0.278246177,-0.704724661,0.03825426,-0.096888017
140,8.03412698,8.258283327,7.165249487,0.224156347,-0.868877493,0.027900523,-0.10814834
141,8.410237972,8.447624912,7.169680068,0.03738694,-1.240557905,0.004445408,-0.147505684
142,6.818924858,7.077439787,6.070294377,0.258514929,-0.748630481,0.037911391,-0.109787173
143,7.846915898,8.062188367,7.149115585,0.215272469,-0.697800313,0.027434023,-0.088926697
144,8.157235442,8.337644458,7.297181388,0.180409016,-0.860054054,0.022116441,-0.105434502
145,8.166023792,8.196167277,7.274685607,0.030143485,-0.891338185,0.00369133,-0.109152044
146,8.180438698,8.400950465,7.515208121,0.220511767,-0.665230576,0.026955983,-0.08131967
147,7.74462926,7.975544842,6.907401928,0.230915582,-0.837227332,0.029816222,-0.108104249
148,6.945567351,7.353992631,6.212947035,0.40842528,-0.732620316,0.058803732,-0.105480269
149,6.378523443,6.562275714,5.525861536,0.183752271,-0.852661907,0.028807964,-0.133677005
150,7.546638609,7.669435528,7.005068028,0.122796918,-0.541570581,0.016271737,-0.071763153
151,7.420303372,7.62316438,6.536294656,0.202861008,-0.884008716,0.027338641,-0.11913377
152,8.221654629,8.407227687,7.414515756,0.185573058,-0.807138873,0.022571254,-0.098172316
153,8.500595213,8.670253963,7.673580154,0.16965875,-0.827015059,0.019958455,-0.097289077
154,7.18141775,7.574888319,6.417285457,0.393470569,-0.764132293,0.054790096,-0.1064041
155,9.019635506,9.22534953,8.569563355,0.205714024,-0.450072151,0.022807354,-0.049899151
156,8.386151261,8.566752791,7.491779733,0.180601529,-0.894371529,0.021535687,-0.106648628
157,7.80396968,8.062198869,7.024168936,0.258229188,-0.779800745,0.033089466,-0.0999236
158,9.095483596,9.34847459,8.74643244,0.252990994,-0.349051156,0.027815013,-0.038376316
159,8.474082144,8.653986551,7.582673135,0.179904407,-0.891409008,0.021229958,-0.105192396
160,7.956761665,8.251195474,7.292035685,0.294433809,-0.66472598,0.037004226,-0.083542276
161,8.179970328,8.421175631,7.483794897,0.241205303,-0.696175431,0.029487308,-0.08510733
162,8.185718283,8.38559695,7.325377282,0.199878667,-0.860341001,0.024417975,-0.105102689
163,8.906923603,8.988910311,7.986620188,0.081986708,-0.920303414,0.009204829,-0.103324498
164,8.30883869,8.619463228,7.5261618,0.310624537,-0.782676891,0.037384832,-0.094198109
165,8.030712183,8.163533991,7.234020737,0.132821808,-0.796691445,0.016539232,-0.099205578
166,7.435196103,7.670493175,6.620083899,0.235297073,-0.815112203,0.031646384,-0.109628878
167,7.521288662,7.922007597,6.775680895,0.400718935,-0.745607768,0.053277962,-0.099132981
168,8.168266583,8.324938828,7.165166166,0.156672245,-1.003100417,0.019180599,-0.122804564
169,8.925787807,8.882853784,8.341084018,-0.042934023,-0.584703789,-0.00481011,-0.065507247
170,8.703006761,8.969180135,8.023389072,0.266173373,-0.679617689,0.030584071,-0.078089987
171,7.91385958,8.09722749,7.071058637,0.18336791,-0.842800943,0.023170478,-0.106496828
172,7.956019549,8.20585306,7.103430062,0.249833512,-0.852589487,0.031401822,-0.10716282
173,7.510278789,7.695942904,6.678656826,0.185664115,-0.831621963,0.024721335,-0.110731171
174,8.428880108,8.702374691,7.817215918,0.273494582,-0.61166419,0.032447321,-0.07256767
175,7.712429737,7.994088378,6.900356116,0.28165864,-0.812073621,0.036520092,-0.105294135
176,7.779059882,8.127607499,6.981941681,0.348547617,-0.797118201,0.044805879,-0.102469735
177,8.561050649,8.872843418,7.807849215,0.311792769,-0.753201434,0.036419919,-0.087980023
178,6.94796082,7.176199643,6.295412301,0.228238823,-0.652548518,0.032849757,-0.09391943
179,7.795170216,8.001426359,7.020473166,0.206256143,-0.774697049,0.026459479,-0.099381672
180,8.34273984,8.548304788,7.403691292,0.205564948,-0.939048548,0.024639981,-0.112558772
181,8.488454041,8.822194317,7.660868955,0.333740276,-0.827585086,0.039316968,-0.097495384
182,8.699447267,8.847648188,7.649751601,0.148200921,-1.049695665,0.017035671,-0.12066234
183,8.503463791,8.597561365,7.480736026,0.094097574,-1.022727765,0.011065793,-0.120271902
184,7.594134553,7.865997115,6.769533353,0.271862562,-0.8246012,0.035799018,-0.10858396
185,7.635959475,7.904879474,6.92700059,0.268919999,-0.708958884,0.035217578,-0.092844768
186,8.141632292,8.451116642,7.334499707,0.30948435,-0.807132585,0.038012568,-0.099136458
187,7.881425749,8.168000039,7.245858867,0.286574291,-0.635566882,0.036360717,-0.080641105
188,9.887379078,9.874560505,9.545668505,-0.012818573,-0.341710573,-0.001296458,-0.034560278
189,7.671434395,8.025732744,6.837089363,0.354298349,-0.834345033,0.046184107,-0.108759978
190,8.746699847,8.765927265,8.10252608,0.019227418,-0.644173767,0.002198248,-0.073647636
191,8.433510059,8.776195735,7.750189737,0.342685675,-0.683320323,0.040633814,-0.081024427
192,8.45889366,8.718824821,7.706097203,0.259931161,-0.752796457,0.030728742,-0.088994671
193,8.665896461,8.893237892,7.814527619,0.227341431,-0.851368842,0.026234035,-0.098243597
194,7.964038944,8.210697025,7.242685828,0.246658081,-0.721353116,0.030971481,-0.090576292
195,9.24886246,9.172195904,8.4181198,-0.076666556,-0.83074266,-0.008289296,-0.089821063
196,7.234807434,7.575038229,6.627779007,0.340230795,-0.607028427,0.047026932,-0.083903882
197,8.644601517,8.847756502,7.844450666,0.203154985,-0.80015085,0.023500792,-0.092560756
198,7.429315855,7.724625657,6.699882419,0.295309802,-0.729433436,0.039749259,-0.098183124
199,9.350162541,9.361964102,8.959773174,0.011801561,-0.390389368,0.001262177,-0.041752148
200,8.352500777,8.660463681,7.670765262,0.307962904,-0.681735515,0.036870742,-0.081620527
201,8.134513043,8.462840039,7.386931773,0.328326995,-0.74758127,0.040362219,-0.0919024
202,8.047280826,8.30082329,7.326489915,0.253542464,-0.720790911,0.031506601,-0.089569499
203,8.865827262,9.021138454,7.90628395,0.155311192,-0.959543311,0.017517958,-0.108229417
204,8.277633891,8.555354913,7.470158088,0.277721022,-0.807475803,0.033550774,-0.097549108
205,8.459622127,8.626704579,7.929245937,0.167082451,-0.530376191,0.019750581,-0.062695021
206,8.43335968,8.710842106,7.66348907,0.277482427,-0.76987061,0.032902952,-0.09128872
207,7.336992055,7.387527017,6.75531973,0.050534962,-0.581672326,0.006887695,-0.0792794
208,8.520500915,8.575181955,7.643003299,0.05468104,-0.877497616,0.006417585,-0.102986623
209,8.300847987,8.600623413,7.695355004,0.299775425,-0.605492983,0.036113831,-0.072943509
210,8.535086061,8.831350751,7.76147828,0.29626469,-0.773607781,0.034711389,-0.090638545
211,7.700068315,7.983779615,6.979599874,0.2837113,-0.720468441,0.036845296,-0.0935665
212,8.835707359,9.014903885,8.253295187,0.179196526,-0.582412173,0.020280948,-0.065915738
213,8.270752639,8.318675583,7.221011694,0.047922944,-1.049740945,0.005794266,-0.126922058
214,8.195124404,8.467433381,7.48879488,0.272308977,-0.706329524,0.033228169,-0.086188994
215,8.324172576,8.666513497,7.679398603,0.342340921,-0.644773973,0.04112612,-0.077458026
216,8.047037131,8.364246747,7.25291715,0.317209616,-0.794119981,0.03941943,-0.098684767
217,6.875711755,7.259227396,6.152237046,0.383515641,-0.723474709,0.055778319,-0.105221791
218,8.155274363,8.372675176,7.634096916,0.217400813,-0.521177447,0.026657695,-0.063906795
219,8.77907994,8.831212855,7.778898576,0.052132915,-1.000181364,0.005938312,-0.113927811
220,7.566495826,7.818216127,6.876407707,0.251720301,-0.690088119,0.033267751,-0.091203132
221,8.455783437,8.819158548,7.854060076,0.363375111,-0.601723361,0.042973559,-0.07116116
222,7.17858034,7.42750863,6.505854054,0.24892829,-0.672726286,0.034676535,-0.093712998
223,8.150457383,8.46759577,7.340094854,0.317138387,-0.810362529,0.038910502,-0.099425405
224,8.646789241,8.789539948,7.770725133,0.142750707,-0.876064107,0.0165091,-0.101316695
225,8.144884488,8.480057065,7.414976189,0.335172576,-0.7299083,0.041151299,-0.08961555
226,8.369512978,8.583507667,7.55570339,0.213994689,-0.813809588,0.025568356,-0.097234999
227,9.048468161,9.312432261,8.451558678,0.263964099,-0.596909483,0.029172242,-0.065968015
228,11.20976981,11.19384608,10.69218109,-0.015923726,-0.517588712,-0.001420522,-0.046173001
229,9.536588108,9.586957354,8.458903225,0.050369246,-1.077684883,0.005281684,-0.113005288
230,8.044266106,8.302781396,7.369713113,0.25851529,-0.674552994,0.032136591,-0.083855132
231,7.373929142,7.497975292,7.019805172,0.12404615,-0.354123969,0.01682226,-0.048023782
232,7.708651991,7.903776009,6.985081811,0.195124018,-0.72357018,0.02531234,-0.093864684
233,8.335280547,8.550265672,7.429245892,0.214985125,-0.906034655,0.025792188,-0.108698759
234,7.276624685,7.329766163,6.504201396,0.053141478,-0.77242329,0.00730304,-0.106151316
235,7.977819469,8.307653144,7.457345226,0.329833675,-0.520474243,0.041343838,-0.065240163
236,9.126245561,9.257793487,8.492223173,0.131547925,-0.634022388,0.014414243,-0.069472423
237,8.594980251,8.865148527,8.049656279,0.270168276,-0.545323972,0.031433263,-0.063446798
238,9.724104422,9.760953122,8.869433014,0.0368487,-0.854671408,0.003789418,-0.087892043
239,8.044258716,8.358837615,7.434188653,0.314578899,-0.610070062,0.039106015,-0.07583919
240,7.807172965,8.159808503,6.992881884,0.352635539,-0.81429108,0.045168147,-0.104300377
241,8.931829252,9.006490054,8.043423081,0.074660802,-0.888406171,0.00835896,-0.099465199
242,8.511958951,8.913338601,7.787850239,0.40137965,-0.724108712,0.047154792,-0.085069573
243,8.472196056,8.661459691,7.761312918,0.189263635,-0.710883138,0.022339383,-0.083907777
244,9.705923266,9.792372923,9.128000386,0.086449657,-0.57792288,0.008906897,-0.059543319
245,8.692393039,8.645326254,7.664180897,-0.047066784,-1.028212141,-0.00541471,-0.118288731
246,8.493902691,8.890368864,8.021395188,0.396466173,-0.472507504,0.046676562,-0.055629022
247,8.929092985,9.071851232,8.137524463,0.142758247,-0.791568522,0.01598799,-0.088650496
248,9.382427123,9.519549014,8.932502544,0.137121891,-0.449924579,0.014614757,-0.047953965
249,8.205591157,8.530429645,7.450548972,0.324838489,-0.755042184,0.039587457,-0.092015574
250,7.556958401,7.904671132,6.862756839,0.347712731,-0.694201562,0.04601226,-0.091862562
251,7.976103434,8.266840661,7.166748067,0.290737227,-0.809355367,0.036451035,-0.101472526
252,10.19161437,10.23029149,9.499261354,0.038677119,-0.692353013,0.003794994,-0.067933596
253,8.429789516,8.461112498,7.510791491,0.031322982,-0.918998025,0.003715749,-0.109017909
254,8.703406843,8.896129965,7.997840814,0.192723122,-0.705566029,0.022143412,-0.081067798
255,8.161667186,8.348434985,7.127521553,0.186767799,-1.034145633,0.022883535,-0.126707646
256,7.833582905,7.880597541,6.9136018,0.047014637,-0.919981104,0.006001677,-0.117440655
257,7.422756237,7.738241641,6.701642903,0.315485404,-0.721113334,0.04250246,-0.097148998
258,9.297196053,9.545309912,8.69776451,0.24811386,-0.599431543,0.026686956,-0.064474444
259,8.324952805,8.587348884,7.744549641,0.262396078,-0.580403164,0.031519227,-0.069718493
260,8.017207398,8.30672471,7.347933683,0.289517312,-0.669273715,0.03611199,-0.083479656
261,8.346219692,8.506883586,7.488137668,0.160663894,-0.858082024,0.0192499,-0.10281086
262,8.386576697,8.675557387,7.716146958,0.28898069,-0.670429739,0.034457527,-0.079940811
263,8.117212799,8.329594961,7.354660083,0.212382163,-0.762552716,0.02616442,-0.093942679
264,6.118601713,6.569668442,5.416005608,0.451066729,-0.702596105,0.073720557,-0.114829521
265,8.706334533,8.840299988,8.169245912,0.133965456,-0.53708862,0.015387125,-0.061689408
266,6.976631989,7.269599781,6.356358985,0.292967792,-0.620273005,0.041992725,-0.088907227
267,8.374257924,8.580754857,7.651980406,0.206496934,-0.722277517,0.024658535,-0.086249734
268,9.0395986,9.412193449,8.338537174,0.37259485,-0.701061426,0.041218075,-0.077554486
269,7.906215637,8.097158027,7.152152776,0.19094239,-0.754062861,0.024150921,-0.095375954
270,8.798910668,8.996165704,8.168137031,0.197255037,-0.630773636,0.02241812,-0.071687696
271,8.152784457,8.378503691,7.36632739,0.225719233,-0.786457068,0.027686152,-0.096464842
272,7.653051417,7.869382853,7.028466223,0.216331435,-0.624585194,0.028267344,-0.08161257
273,7.802902092,8.067170344,7.10098533,0.264268252,-0.701916762,0.033867944,-0.089955859
274,8.337178984,8.658945413,7.624894414,0.321766428,-0.712284571,0.038594161,-0.085434722
275,8.232284923,8.386856963,7.328018466,0.154572039,-0.904266457,0.018776323,-0.109843921
276,8.128844475,8.489399219,7.412243032,0.360554744,-0.716601443,0.044354981,-0.088155389
277,7.253192916,7.410996687,6.659803911,0.157803771,-0.593389005,0.021756456,-0.08181073
278,7.690001331,8.031535191,6.942112645,0.341533861,-0.747888685,0.044412718,-0.097254689
279,7.744747831,8.063210883,7.028650536,0.318463052,-0.716097295,0.041119874,-0.092462313
280,8.043302974,8.303983866,7.307378488,0.260680892,-0.735924486,0.032409682,-0.091495308
281,9.543991873,9.683389708,8.887060719,0.139397835,-0.656931155,0.014605821,-0.068831906
282,7.996080943,8.165423611,7.13826842,0.169342668,-0.857812524,0.021178208,-0.10727912
283,7.977898784,8.355729045,7.227454275,0.377830261,-0.750444509,0.047359621,-0.094065434
284,7.309455891,7.400154937,6.675219361,0.090699046,-0.63423653,0.012408454,-0.086769322
285,9.140995821,9.174774522,8.67422969,0.033778701,-0.466766131,0.003695298,-0.051062941
286,7.770496118,8.023484013,6.999413453,0.252987895,-0.771082665,0.032557496,-0.099232102
287,9.422297502,9.420226082,8.879787118,-0.00207142,-0.542510384,-0.000219842,-0.057577293
288,8.318567124,8.633912382,7.696347076,0.315345258,-0.622220047,0.037908603,-0.074798945
289,9.060897542,9.278601553,8.181930455,0.21770401,-0.878967087,0.02402676,-0.097006625
290,9.077998059,9.124720789,8.196830374,0.046722731,-0.881167684,0.00514681,-0.0970663
291,8.239295122,8.44692865,7.516349879,0.207633528,-0.722945243,0.025200399,-0.087743579
292,7.89343733,8.243670192,7.244719538,0.350232862,-0.648717792,0.044370133,-0.082184448
293,7.014700651,7.301877966,6.314928554,0.287177315,-0.699772097,0.040939354,-0.099757941
294,8.007380608,8.103465586,6.973290554,0.096084978,-1.034090054,0.011999552,-0.129142113
295,7.636252585,7.704840481,6.575666725,0.068587896,-1.060585861,0.008981879,-0.138888263
296,8.691324472,8.743634709,7.775135606,0.052310238,-0.916188866,0.006018673,-0.105414183
297,8.131522549,8.379619127,7.342055349,0.248096577,-0.7894672,0.03051047,-0.097087255
298,7.880469743,8.019131994,7.22960408,0.138662251,-0.650865663,0.017595683,-0.082592242
